Feature,Ridge_coef,Lasso_coef,Lasso_zeroed
Luas_Tanah_m2,268183450.9385802,287970480.1669226,False
Luas_Bangunan_m2,815564709.9169143,858895774.4992086,False
Jumlah_Kamar,364923690.5770075,382767891.7103923,False
Umur_Bangunan_th,5587021.560824202,270825.2919583605,False
Jarak_ke_Pusat_km,-270503040.2613247,-283978003.810319,False
Luas_Tanah_m2^2,35233319.05373859,36019926.56412915,False
Luas_Tanah_m2 Luas_Bangunan_m2,-72717057.69308248,-77907821.90685357,False
Luas_Tanah_m2 Jumlah_Kamar,-29588163.71869863,-24575044.91598033,False
Luas_Tanah_m2 Umur_Bangunan_th,-5617703.47986635,818902.2996635744,False
Luas_Tanah_m2 Jarak_ke_Pusat_km,-127970608.79923354,-133576287.94621925,False
Luas_Bangunan_m2^2,-147580119.76329494,-151300249.85088855,False
Luas_Bangunan_m2 Jumlah_Kamar,5511613.109931315,7665789.106091689,False
Luas_Bangunan_m2 Umur_Bangunan_th,47726716.580678165,54258403.72899208,False
Luas_Bangunan_m2 Jarak_ke_Pusat_km,-8479804.521407627,-15115863.44945346,False
Jumlah_Kamar^2,-23077342.375966813,-27368704.649308972,False
Jumlah_Kamar Umur_Bangunan_th,-5792340.132139276,-2894941.6714847647,False
Jumlah_Kamar Jarak_ke_Pusat_km,72898292.42181595,74659506.89442179,False
Umur_Bangunan_th^2,40279762.993369,47206704.94861049,False
Umur_Bangunan_th Jarak_ke_Pusat_km,-36644731.81097349,-39258783.73044062,False
Jarak_ke_Pusat_km^2,-13339187.943801276,-18686821.61284999,False
