degree,model,n_features,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape
1,Linear,5,0.8142977672486932,0.8205411905712978,482859119.33950865,462502319.0459749,386797344.8371274,359364064.3350678,12.513360315146327,11.959117566287865
1,Ridge_0.001,5,0.8142977672281962,0.8205408418067106,482859119.3661566,462502768.4648485,386797653.9957689,359365276.51681095,12.513387853380346,11.959176888663293
1,Lasso_0.001,5,0.8142977672486932,0.8205411905711287,482859119.33950865,462502319.04619277,386797344.83712935,359364064.33558214,12.513360315148987,11.959117566310509
1,Ridge_0.01,5,0.8142977651991897,0.8205377013586457,482859122.004047,462506815.2339981,386800436.2902633,359376185.5970128,12.513635684306692,11.959710762980075
1,Lasso_0.01,5,0.8142977672486932,0.820541190569604,482859119.3395087,462502319.04815763,386797344.83714336,359364064.34021664,12.513360315172898,11.959117566514477
1,Ridge_0.1,5,0.8142975624894665,0.8205061419365856,482859385.54479647,462547480.6167508,386828246.0470999,359485221.4347743,12.516112689480948,11.965046828404004
1,Lasso_0.1,5,0.8142977672486932,0.8205411905542823,482859119.33950865,462502319.0679012,386797344.8372434,359364064.38673204,12.51336031541289,11.959117568561226
1,Ridge_1,5,0.8142774809444568,0.8201752220351819,482885492.63441217,462973667.0167255,387173425.2449623,360624339.1117971,12.545707111647756,12.021358253027772
1,Lasso_1,5,0.8142977672486932,0.8205411904025612,482859119.3395087,462502319.2634093,386797344.8390609,359364064.8484592,12.513360317794882,11.95911758888734
1,Ridge_10,5,0.8124448164771526,0.8154891173164941,485262142.0421215,468967251.8370181,392730305.9275436,373223730.10682005,12.929551521441201,12.645934220237343
1,Lasso_10,5,0.8142977672486928,0.8205411888823655,482859119.3395091,462502321.22233814,386797344.8556058,359364069.4725739,12.513360341650747,11.959117792430844
1,Ridge_100,5,0.7246886140256817,0.7138075950327208,587927753.2457082,584064184.5835476,487357718.6142385,493517642.1027314,17.478333424593355,17.93794793518631
1,Lasso_100,5,0.8142977672486557,0.820541173650575,482859119.33955747,462502340.85006857,386797345.004693,359364115.78205657,12.513360580565921,11.959119830685344
2,Linear,20,0.8548435889272168,0.7974975337993258,426903766.1908686,491299907.0014318,329047409.4370809,378439706.0128289,10.295704675007576,12.314110372498087
2,Ridge_0.001,20,0.8548435889045412,0.7974979094019953,426903766.2242132,491299451.3683582,329047587.7449467,378439837.02364147,10.295718437745457,12.314123090181253
2,Lasso_0.001,20,0.8548435889272168,0.7974975338010182,426903766.1908686,491299906.99937874,329047409.4372699,378439706.0115748,10.295704675016884,12.314110372464633
2,Ridge_0.01,20,0.8548435866598887,0.7975012871468786,426903769.5249649,491295353.9017017,329049192.3892607,378441016.1633347,10.29584229167789,12.314237549333255
2,Lasso_0.01,20,0.8548435889272168,0.7974975338162588,426903766.1908686,491299906.98089075,329047409.4389794,378439706.0002841,10.295704675100119,12.31411037216318
2,Ridge_0.1,20,0.8548433624379916,0.7975347996904637,426904099.2421779,491254698.73410577,329065226.32058483,378452811.7464637,10.297079771766386,12.315382140776016
2,Lasso_0.1,20,0.8548435889272168,0.797497533968445,426903766.1908686,491299906.796278,329047409.45593524,378439705.88755256,10.295704675945693,12.314110369158946
2,Ridge_1,20,0.8548211811869119,0.7978437606903134,426936715.4058322,490879729.3807598,329240515.532591,378571176.9178496,10.309718357151805,12.32682763419727
2,Lasso_1,20,0.8548435889272168,0.7974975354907283,426903766.1908686,491299904.9496397,329047409.6261657,378439704.7601363,10.295704684364404,12.314110339093137
2,Ridge_10,20,0.852822156444688,0.7986118580172442,429865996.76159394,489946287.4113704,333869729.4500549,380772588.83502305,10.533334619758575,12.473579592274099
2,Lasso_10,20,0.8548435889272148,0.7974975507137173,426903766.19087154,491299886.48306644,329047411.3368959,378439693.49081707,10.295704768307838,12.314110038353594
2,Ridge_100,20,0.7619687909650357,0.7153715081282961,546674512.7276535,582466174.1235119,454149266.34513265,485545854.5863868,15.759484033326714,17.15514495983499
2,Lasso_100,20,0.8548435889270168,0.797497702899479,426903766.1911627,491299701.8708265,329047428.5863727,378439580.9369668,10.295705605772506,12.314107031549923
3,Linear,55,0.8735021003494405,0.7784377993497233,398523129.9575528,513900876.7580246,311024120.4330165,408299276.1988011,9.686777163017066,13.64265394814645
3,Ridge_0.001,55,0.8735020998699766,0.778440185467331,398523130.7128121,513898109.5187832,311024114.0777194,408298487.7724266,9.686752672215954,13.642611824403767
3,Lasso_0.001,55,0.8735021003494405,0.7784377993539336,398523129.9575528,513900876.7531419,311024120.4325065,408299276.1955291,9.686777162993963,13.642653947970388
3,Ridge_0.01,55,0.8735020525027197,0.77846158213513,398523205.3264845,513873294.6112611,311024057.6056939,408291388.7757598,9.68653260481161,13.642232806009446
3,Lasso_0.01,55,0.8735021003494405,0.7784377993918166,398523129.9575528,513900876.7092082,311024120.42791736,408299276.1660971,9.68677716278619,13.642653946386169
3,Ridge_0.1,55,0.8734974136323627,0.7786679527247834,398530512.4827351,513633893.5984301,311023563.7182831,408220092.3407886,9.68436613829068,13.638451971456913
3,Lasso_0.1,55,0.8735021003494404,0.7784377997705815,398523129.95755285,513900876.2699464,311024120.382017,408299275.8718466,9.686777160708584,13.642653930546741
